2020-02-14/20:44:08		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:08		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:08		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:08		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:08		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:08		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:09		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:09		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:09		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:09		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:09		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:09		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:09		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:09		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:09		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:09		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:09		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:10		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:10		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:10		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:10		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:10		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:10		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:10		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:10		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:10		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:10		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:10		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:10		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:10		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:11		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:11		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:11		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:11		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:11		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:11		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:11		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:11		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:11		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:11		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:11		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:12		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:12		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:12		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:12		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:12		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:12		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:12		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:12		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:12		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:12		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:12		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:12		 visibility_08012020_120000.csv: File loaded successfully!!
